com/google/firebase/ml/vision/common/FirebaseVisionImageMetadata.Builder,setWidth,"('id',)"
com/google/firebase/ml/vision/objects/FirebaseVisionObject,getClassificationConfidence,"('id',)"
com/google/firebase/ml/vision/objects/FirebaseVisionObject,getTrackingId,"('id',)"
com/google/firebase/ml/vision/objects/FirebaseVisionObjectDetectorOptions.Builder,enableMultipleObjects,"('IP',)"
com/google/firebase/ml/vision/label/FirebaseVisionOnDeviceAutoMLImageLabelerOptions.Builder,setConfidenceThreshold,"('id',)"
com/google/firebase/ml/vision/label/FirebaseVisionOnDeviceImageLabelerOptions,getConfidenceThreshold,"('id',)"
com/google/firebase/ml/vision/label/FirebaseVisionOnDeviceImageLabelerOptions.Builder,setConfidenceThreshold,"('id',)"
com/google/firebase/ml/vision/text/FirebaseVisionText.Element,getConfidence,"('id',)"
com/google/firebase/ml/vision/text/FirebaseVisionText.Line,getConfidence,"('id',)"
com/google/firebase/ml/vision/text/FirebaseVisionText.TextBlock,getConfidence,"('id',)"
com/google/firebase/ml/naturallanguage/languageid/IdentifiedLanguage,getConfidence,"('id',)"
com/google/firebase/perf/metrics/AddTrace,name,"('name',)"
com/google/firebase/perf/FirebasePerformance,newTrace,"('Race',)"
com/google/firebase/perf/FirebasePerformance,startTrace,"('Race',)"
com/google/firebase/storage/StorageMetadata,getName,"('name',)"
com/google/firebase/storage/StorageReference,getName,"('name',)"
com/google/android/gms/ads/AdListener,onAdClicked,"('Click',)"
com/google/android/gms/ads/AdLoader,getMediationAdapterClassName,"('name',)"
com/google/android/gms/ads/AdRequest,getBirthday,"('Birthday',)"
com/google/android/gms/ads/AdRequest,getGender,"('Gender',)"
com/google/android/gms/ads/AdRequest,getLocation,"('Location',)"
com/google/android/gms/ads/AdSize,WIDE_SKYSCRAPE,"('id',)"
com/google/android/gms/ads/AdSize,getCurrentOrientationBannerAdSizeWithWidth,"('AD', 'ID')"
com/google/android/gms/ads/AdSize,getHeight,"('Height',)"
com/google/android/gms/ads/AdSize,getHeightInPixels,"('Height',)"
com/google/android/gms/ads/AdSize,getLandscapeBannerAdSizeWithWidth,"('AD', 'ID')"
com/google/android/gms/ads/AdSize,getPortraitBannerAdSizeWithWidth,"('AD', 'ID')"
com/google/android/gms/ads/AdSize,getWidth,"('id',)"
com/google/android/gms/ads/AdSize,isAutoHeight,"('Height',)"
com/google/android/gms/ads/AdSize,isFluid,"('id',)"
com/google/android/gms/ads/AdSize,isFullWidth,"('id',)"
com/google/android/gms/ads/AdValue,getCurrencyCode,"('Currency',)"
com/google/android/gms/ads/AdView,getAdUnitId,"('AD', 'ID')"
com/google/android/gms/ads/AdView,getMediationAdapterClassName,"('name',)"
com/google/android/gms/ads/AdView,setAdUnitId,"('AD', 'ID')"
com/google/android/gms/ads/AdView,setOnPaidEventListener,"('id',)"
com/google/android/gms/ads/doubleclick/CustomRenderedAd,recordClick,"('Click',)"
com/google/android/gms/ads/InterstitialAd,getAdUnitId,"('AD', 'ID')"
com/google/android/gms/ads/InterstitialAd,getMediationAdapterClassName,"('name',)"
com/google/android/gms/ads/InterstitialAd,setAdUnitId,"('AD', 'ID')"
com/google/android/gms/ads/InterstitialAd,setOnPaidEventListener,"('id',)"
com/google/android/gms/ads/MediaContent,getVideoController,"('id',)"
com/google/android/gms/ads/MediaContent,hasVideoContent,"('id',)"
com/google/android/gms/ads/MobileAds,getRewardedVideoAdInstance,"('AD', 'ID')"
